	observed_features
NW001-1	124.0
NW001-3	126.0
NW001-4	98.0
NW002-1	144.0
NW002-2	142.0
NW003-1	155.0
NW003-2	183.0
NW003-3	136.0
NW003-4	115.0
NW003-5	134.0
NW005-1	286.0
NW005-2	257.0
NW005-3	208.0
NW005-4	244.0
NW005-5	265.0
NW006-1	224.0
NW006-2	272.0
NW006-3	319.0
NW007-1	104.0
NW007-2	178.0
NW007-4	100.0
NW007-5	114.0
NW007-6	84.0
NW008-1	214.0
NW010-1	172.0
NW010-2	140.0
NW010-4	132.0
NW010-5	127.0
NW011-1	305.0
NW011-2	344.0
NW011-4	283.0
NW011-5	303.0
NW011-6	253.0
NW012-1	310.0
NW012-3	314.0
NW012-4	164.0
NW012-5	318.0
NW012-6	284.0
NW013-1	262.0
NW013-2	158.0
NW013-3	242.0
NW013-4	210.0
NW013-5	185.0
NW014-1	184.0
NW015-1	202.0
NW015-2	190.0
NW015-3	218.0
NW015-5	223.0
NW015-6	237.0
NW016-1	159.0
NW016-2-1	174.0
NW016-2-2	226.0
NW016-2-3	69.0
NW016-3	132.0
NW016-4-1	108.0
NW016-4-2	136.0
NW016-5	114.0
NW018-1	227.0
NW018-2	203.0
NW018-3-1	203.0
NW018-3-2	108.0
NW018-4	194.0
NW018-5	208.0
NW019-1	203.0
NW019-2-1	168.0
NW019-2-2	204.0
NW019-3	208.0
NW019-4	208.0
NW019-5	198.0
NW020-1	267.0
NW020-2	209.0
NW020-3	240.0
NW020-5	243.0
NW020-6	233.0
NW021-3	107.0
NW021-5	128.0
NW021-6	178.0
NW022-1	187.0
NW022-4	235.0
NW022-5-1	203.0
NW022-5-2	154.0
NW022-6	199.0
NW023-1	289.0
NW023-3	230.0
NW023-4	211.0
NW023-6	183.0
NW025-1	184.0
NW025-2	187.0
NW025-3	158.0
NW025-4	200.0
NW026-1	358.0
NW026-2	202.0
NW026-3	267.0
NW026-4	260.0
NW026-5	257.0
NW027-1	113.0
NW027-2	84.0
NW027-3	105.0
NW027-5	106.0
NW027-6	124.0
NW028-1	156.0
NW028-2	180.0
NW028-3	149.0
NW028-4	181.0
NW028-5	160.0
NW029-1	193.0
NW029-2	194.0
NW029-3	188.0
NW029-5	209.0
NW030-1	173.0
NW030-2	160.0
NW030-4	159.0
NW030-5-1	167.0
NW030-5-2	150.0
NW030-6	130.0
NW031-1	197.0
NW031-2	190.0
NW031-3	168.0
NW031-4	164.0
NW031-5	134.0
NW032-1	185.0
NW032-2	77.0
NW032-3	153.0
NW032-4-1	166.0
NW032-4-2	157.0
NW032-4-3	163.0
NW032-5	246.0
NW033-1	130.0
NW033-2	147.0
NW033-3	111.0
NW033-4	75.0
NW033-5	128.0
NW034-1	244.0
NW034-2-1	191.0
NW034-2-2	234.0
NW034-3	204.0
NW034-4	238.0
NW034-5	220.0
NW035-1	229.0
NW035-2	212.0
NW035-4-1	224.0
NW035-4-2	226.0
NW035-5	231.0
NW036-1	149.0
NW036-2	159.0
NW036-3	219.0
NW036-4	218.0
NW036-5	204.0
NW038-1	285.0
NW038-2	292.0
NW038-3	275.0
NW038-4	311.0
NW038-5	279.0
NW040-1	237.0
NW040-2-1	296.0
NW040-2-2	299.0
NW040-3	223.0
NW041-1	190.0
NW041-2	249.0
NW042-1	221.0
NW042-3	218.0
NW042-4	204.0
NW042-5	207.0
NW043-1	293.0
NW043-3	201.0
NW043-4-1	280.0
NW043-4-2	267.0
NW043-6	279.0
NW044-1	248.0
NW045-1	191.0
NW045-2	170.0
NW045-3	261.0
NW045-4-1	265.0
NW045-4-2	175.0
NW045-5	212.0
NW046-1	222.0
NW046-5	211.0
NW047-4	172.0
NW047-5	120.0
NW048-1	221.0
NW048-5-1	272.0
NW048-5-2	215.0
NW049-1	167.0
NW049-2	199.0
NW049-3	106.0
NW049-4	77.0
NW049-5	228.0
NW050-1	160.0
NW050-2	134.0
NW050-3	138.0
NW050-4	139.0
NW050-5	159.0
NW051-1	194.0
NW051-2	185.0
NW051-3	185.0
NW051-5	194.0
NW051-6	229.0
NW052-1	209.0
NW052-2	225.0
NW053-1	244.0
NW053-2	177.0
NW053-3	122.0
NW053-4	207.0
NW053-5	197.0
