estimate	std_error	statistic	p_value	term
-0.006781969667545467	0.14483875819557396	-0.04682427377890011	0.9634235283425542	anemia
0.2614514763568104	0.14357166703021046	1.8210520346037047	0.09360928424235168	arthritis
0.3545395454180031	0.17204559714757697	2.0607301279200234	0.06169119306870313	atherosclerosis
0.5373289632535573	0.1839387225256524	2.92123896412633	0.012810801306097049	copd
0.3962006014236495	0.17764875607522693	2.2302469782331316	0.04559050570904773	dementia
-0.05426879157596686	0.19897523684577645	-0.27274143474461604	0.7896887025883559	depression
0.07097495133466518	0.29460601405919623	0.2409148080745016	0.8136881276920137	diabetes
-0.03165456200873761	0.16271646914427806	-0.19453815692540638	0.8490091153226555	dyslipidemia
-0.019516427368973792	0.18037293696324616	-0.10820041907368051	0.9156248396828888	hypertension
-0.12686873053712816	0.31845452011529135	-0.3983888515421209	0.6973408786722715	hypothyroidism
-0.35279512980594324	0.14578559247175704	-2.419958816398747	0.03231987576962192	osteoporosis
0.3986840857828143	0.2531180540091442	1.575091462138103	0.14121822763474723	renal_disease
-0.5085580357389393	0.2912081627879898	-1.7463728724843068	0.10626817690730693	ace_inhibitors
0.14450760651131345	0.1362826375471042	1.0603522878060412	0.3098605599671759	acetaminophen
-9.40972587403665e-4	0.1793706080488051	-0.005245968654728733	0.9959005444703174	aaps
0.11676969563035094	0.16045685903551782	0.727732652453975	0.4807361487199848	benzodiazepines
-0.3966787026394851	0.18023772229418158	-2.200863934532148	0.04806225112307583	beta_blockers
-0.12873951106888365	0.21775366820447764	-0.5912162680446473	0.5653461007421413	antiplatelets
0.18322267757333638	0.2625950232824001	0.6977385758613367	0.4986376828341619	ccbs
0.06151217144614907	0.1699958627570863	0.3618451087485947	0.7237593352088365	diuretics
0.44551102926866337	0.28700346865268367	1.5522844771182787	0.1465574025083085	insulin
0.3991102843893694	0.19212879770180227	2.0773058966871654	0.059908126188794326	iron_supplements
0.010559205172635876	0.1120501435357076	0.09423642700886786	0.9264765800551211	laxatives
-0.022886220308925925	0.2928361806028129	-0.07815366346403606	0.9389938923228396	levothyroxine
0.36904098323668205	0.2811148391911444	1.3127766015430875	0.21381043907597497	metformin
0.13344687688689083	0.23538620672971627	0.5669273435385365	0.5812134245330272	nitrates
-0.7527452890429746	0.2630976245885697	-2.8610873633698235	0.014324889041511933	opioids
0.060259189897691336	0.20332666966402538	0.29636638418985034	0.7720169385844886	ppis
-0.5617895994395036	0.24462390446881152	-2.296544160961707	0.04044978523258711	ssris
0.1141042074388272	0.1864713353983551	0.6119128561774312	0.5520131723715126	statins
-0.05492040169073166	0.21066326700989638	-0.2607023164040822	0.7987420431750465	tcas
-0.47647865547283125	0.18163862166677128	-2.623223250102418	0.022252198189069084	vitb12
-0.4781125042166587	0.14503814756042696	-3.296460360661071	0.006382464257959585	vitd
